接,jiē,jie1,1
接着,jiēzhe,jie1zhe,1
街,jiē,jie1,1
节,jié,jie2,1
节目,jiémù,jie2mu4,1
节日,jiérì,jie2ri4,1
结果,jiéguǒ,jie2guo3,1
结束,jiéshù,jie2shu4,1
解决,jiějué,jie3jue2,1
姐姐,jiějie,jie3jie,1
借,jiè,jie4,1
介绍,jièshào,jie4shao4,1
斤,jīn,jin1,1
今年,jīnnián,jin1nian2,1
今天,jīntiān,jin1tian1,1
紧,jǐn,jin3,1
紧张,jǐnzhāng,jin3zhang1,1
进,jìn,jin4,1
进来,jìnlái,jin4lai2,1
进去,jìnqù,jin4qu4,1
进行,jìnxíng,jin4xing2,1
近,jìn,jin4,1
精彩,jīngcǎi,jing1cai3,1
精神,jīngshén,jing1shen2,1
经常,jīngcháng,jing1chang2,1
经过,jīngguò,jing1guo4,1
经济,jīngjì,jing1ji4,1
经验,jīngyàn,jing1yan4,1
久,jiǔ,jiu3,1
九,jiǔ,jiu3,1
酒,jiǔ,jiu3,1
旧,jiù,jiu4,1
就,jiù,jiu4,1
橘子,júzi,ju2zi,1
举,jǔ,ju3,1
句,jù,ju4,1
句子,jùzi,ju4zi,1
觉得,juéde,jue2de,1
决定,juédìng,jue2ding4,1
咖啡,kāfēi,ka1fei1,1
卡车,kǎchē,ka3che1,1
开,kāi,kai1,1
开始,kāishǐ,kai1shi3,1
开玩笑,kāiwánxiào,kai1wan2xiao4,1
开学,kāixué,kai1xue2,1
看,kàn,kan4,1
看病,kànbìng,kan4bing4,1
看见,kànjiàn,kan4jian4,1
考试,kǎoshì,kao3shi4,1
棵,kē,ke1,1
科学,kēxué,ke1xue2,1
咳嗽,késou,ke2sou,1
可能,kěnéng,ke3neng2,1
可是,kěshì,ke3shi4,1
可以,kěyǐ,ke3yi3,1
渴,kě,ke3,1
克,kè,ke4,1
刻,kè,ke4,1
客气,kèqi,ke4qi,1
课,kè,ke4,1
课本,kèběn,ke4ben3,1
课文,kèwén,ke4wen2,1
空气,kōngqì,kong1qi4,1
口,kǒu,kou3,1
口语,kǒuyǔ,kou3yu3,1
哭,kū,ku1,1
苦,kǔ,ku3,1
块,kuài,kuai4,1
快,kuài,kuai4,1
困难,kùnnan,kun4nan,1
拉,lā,la1,1
啦,la,la,1
来,lái,lai2,1
蓝,lán,lan2,1
篮球,lánqiú,lan2qiu2,1
劳动,láodòng,lao2dong4,1
劳驾,láojià,lao2jia4,1
老,lǎo,lao3,1
老师,lǎoshī,lao3shi1,1
了,le,le,1
累,lèi,lei4,1
冷,lěng,leng3,1
离,lí,li2,1
离开,líkāi,li2kai1,1
里,lǐ,li3,1
里,lǐ,li3,1
里边,lǐbiān,li3bian1,1
礼物,lǐwù,li3wu4,1
历史,lìshǐ,li4shi3,1
利用,lìyòng,li4yong4,1
例如,lìrú,li4ru2,1
立刻,lìkè,li4ke4,1
俩,liǎ,lia3,1
联系,liánxì,lian2xi4,1
连_都_,lián_dōu,lian2_dou1,1
脸,liǎn,lian3,1
练习,liànxí,lian4xi2,1
凉快,liángkuai,liang2kuai,1
两,liǎng,liang3,1
辆,liàng,liang4,1
亮,liàng,liang4,1
了,liǎo,liao3,1
了解,liǎojiě,liao3jie3,1
零,líng,ling2,1
领导,lǐngdǎo,ling3dao3,1
留,liú,liu2,1
留念,liúniàn,liu2nian4,1
留学生,liúxuéshēng,liu2xue2sheng1,1
流,liú,liu2,1
六,liù,liu4,1
楼,lóu,lou2,1
路,lù,lu4,1
录音,lùyīn,lu4yin1,1
旅行,lǚxíng,lv3xing2,1
绿,lǜ,lv4,1
乱,luàn,luan4,1
妈妈,māma,ma1ma,1
麻烦,máfan,ma2fan,1
马,mǎ,ma3,1
马上,mǎshàng,ma3shang4,1
嘛,ma,ma,1
吗,ma,ma,1
买,mǎi,mai3,1
卖,mài,mai4,1
满,mǎn,man3,1
满意,mǎnyì,man3yi4,1
慢,màn,man4,1
忙,máng,mang2,1
毛,máo,mao2,1
帽子,màozi,mao4zi,1
没,méi,mei2,1
没关系,méiguānxi,mei2guan1xi,1
没意思,méiyìsi,mei2yi4si,1
没有,méiyǒu,mei2you3,1
每,měi,mei3,1
妹妹,mèimei,mei4mei,1
门,mén,men2,1
门口,ménkǒu,men2kou3,1
们,men,men,1
米,mǐ,mi3,1
米饭,mǐfàn,mi3fan4,1
面包,miànbāo,mian4bao1,1
面条儿,miàntiáor,mian4tiao2r,1
民族,mínzú,min2zu2,1
明年,míngnián,ming2nian2,1
明天,míngtiān,ming2tian1,1
名字,míngzi,ming2zi,1
母亲,mǔqīn,mu3qin1,1
目前,mùqián,mu4qian2,1
拿,ná,na2,1
哪,nǎ,na3,1
哪里,nǎlǐ,na3li3,1
那,nà,na4,1
那,nà,na4,1
那个,nàge,na4ge,1
那里,nàli,na4li,1
那么,nàme,na4me,1
那么,nàme,na4me,1
那些,nàxiē,na4xie1,1
那样,nàyàng,na4yang4,1
哪,na,na,1
呐,na,na,1
南,nán,nan2,1
南边,nánbiān,nan2bian1,1
男,nán,nan2,1
难,nán,nan2,1
呢,ne,ne,1
内,nèi,nei4,1
内容,nèiróng,nei4rong2,1
能,néng,neng2,1
能够,nénggòu,neng2gou4,1
嗯,ng,ng,1
你,nǐ,ni3,1
你们,nǐmen,ni3men,1
年,nián,nian2,1
年级,niánjí,nian2ji2,1
年纪,niánjì,nian2ji4,1
年轻,niánqīng,nian2qing1,1
念,niàn,nian4,1
您,nín,nin2,1
牛,niú,niu2,1
牛奶,niúnǎi,niu2nai3,1
农村,nóngcūn,nong2cun1,1
农民,nóngmín,nong2min2,1
农业,nóngyè,nong2ye4,1
努力,nǔlì,nu3li4,1
女,nǚ,nv3,1
女儿,nǚér,nv3er2,1
暖和,nuǎnhuo,nuan3huo,1
爬,pá,pa2,1
怕,pà,pa4,1
拍,pāi,pai1,1
排球,páiqiú,pai2qiu2,1
派,pài,pai4,1
旁边,pángbiān,pang2bian1,1
跑,pǎo,pao3,1
跑步,pǎobù,pao3bu4,1
朋友,péngyou,peng2you,1
碰,pèng,peng4,1
批评,pīpíng,pi1ping2,1
啤酒,píjiǔ,pi2jiu3,1
篇,piān,pian1,1
便宜,piányi,pian2yi,1
片,piàn,pian4,1
漂亮,piàoliang,piao4liang,1
票,piào,piao4,1
苹果,píngguǒ,ping2guo3,1
瓶,píng,ping2,1
破,pò,po4,1
七,qī,qi1,1
骑,qí,qi2,1
起,qǐ,qi3,1
起床,qǐchuáng,qi3chuang2,1
起来,qǐlái,qi3lai2,1
汽车,qìchē,qi4che1,1
汽水,qìshuǐ,qi4shui3,1
铅笔,qiānbǐ,qian1bi3,1
千,qiān,qian1,1
钱,qián,qian2,1
前,qián,qian2,1
前边,qiánbiān,qian2bian1,1
浅,qiǎn,qian3,1
墙,qiáng,qiang2,1
桥,qiáo,qiao2,1
青年,qīngnián,qing1nian2,1
轻,qīng,qing1,1
清楚,qīngchu,qing1chu,1
晴,qíng,qing2,1
情况,qíngkuàng,qing2kuang4,1
请,qǐng,qing3,1
请假,qǐngjià,qing3jia4,1
请问,qǐngwèn,qing3wen4,1
秋,qiū,qiu1,1
秋天,qiūtiān,qiu1tian1,1
球,qiú,qiu2,1
取得,qǔdé,qu3de2,1
去,qù,qu4,1
去年,qùnián,qu4nian2,1
全,quán,quan2,1
全部,quánbù,quan2bu4,1
全体,quántǐ,quan2ti3,1
确实,quèshí,que4shi2,1
然后,ránhòu,ran2hou4,1
让,ràng,rang4,1
热,rè,re4,1
热情,rèqíng,re4qing2,1
人,rén,ren2,1
人们,rénmen,ren2men,1
人民,rénmín,ren2min2,1
任何,rènhé,ren4he2,1
认识,rènshi,ren4shi,1
认为,rènwéi,ren4wei2,1
认真,rènzhēn,ren4zhen1,1
日,rì,ri4,1
日语,rìyǔ,ri4yu3,1
日子,rìzi,ri4zi,1
容易,róngyì,rong2yi4,1
肉,ròu,rou4,1
三,sān,san1,1
散步,sànbù,san4bu4,1
山,shān,shan1,1
商店,shāngdiàn,shang1dian4,1
上,shàng,shang4,1
上,shàng,shang4,1
上边,shàngbiān,shang4bian1,1
上课,shàngkè,shang4ke4,1
上来,shànglái,shang4lai2,1
上去,shàngqù,shang4qu4,1
上午,shàngwǔ,shang4wu3,1
上学,shàngxué,shang4xue2,1
少,shǎo,shao3,1
社会,shèhuì,she4hui4,1
身体,shēntǐ,shen1ti3,1
深,shēn,shen1,1
什么,shénme,shen2me,1
声,shēng,sheng1,1
声调,shēngdiào,sheng1diao4,1
声音,shēngyīn,sheng1yin1,1
生产,shēngchǎn,sheng1chan3,1
生词,shēngcí,sheng1ci2,1
生活,shēnghuó,sheng1huo2,1
生日,shēngri,sheng1ri,1
省,shěng,sheng3,1
剩,shèng,sheng4,1
胜利,shènglì,sheng4li4,1
师傅,shīfu,shi1fu,1
十,shí,shi2,1
十分,shífēn,shi2fen1,1
时候,shíhou,shi2hou,1
时间,shíjiān,shi2jian1,1
食堂,shítáng,shi2tang2,1
实践,shíjiàn,shi2jian4,1
实现,shíxiàn,shi2xian4,1
使用,shǐyòng,shi3yong4,1
世界,shìjiè,shi4jie4,1
事,shì,shi4,1
事情,shìqing,shi4qing,1
是,shì,shi4,1
市,shì,shi4,1
试,shì,shi4,1
收,shōu,shou1,1
收拾,shōushi,shou1shi,1
手,shǒu,shou3,1
手表,shǒubiǎo,shou3biao3,1
首都,shǒudū,shou3du1,1
输,shū,shu1,1
舒服,shūfu,shu1fu,1
书,shū,shu1,1
熟,shú,shu2,1
数,shǔ,shu3,1
树,shù,shu4,1
数学,shùxué,shu4xue2,1
双,shuāng,shuang1,1
谁,sheí,shei2,1
水,shuǐ,shui3,1
水果,shuǐguǒ,shui3guo3,1
